City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
1,Oussouye,SN,297.25,clear sky,12.485,-16.5469,Auberge du Routard
6,Carnarvon,AU,297.19,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
11,Kapaa,US,300.33,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
12,Port Hueneme,US,303.18,clear sky,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
14,Butaritari,KI,300.33,few clouds,3.0707,172.7902,Isles Sunset Lodge
16,Bilma,NE,295.24,clear sky,18.6853,12.9164,Expeditions Ténére voyages
17,Santa Rosa del Sur,CO,299.2,overcast clouds,7.9644,-74.0544,Hotel hoquidea del sur
21,Prata,BR,298.73,overcast clouds,-19.3072,-48.9242,Hotel Pontal Aluga-se Quitinetes e suítes mensalmente
22,The Valley,AI,299.23,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
23,Atuona,PF,299.23,few clouds,-9.8,-139.0333,Villa Enata
25,Saint-Joseph,RE,297.36,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
26,Puerto Ayora,EC,303.13,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
31,Ixtapa,MX,301.99,clear sky,20.7,-105.2,hotel la terminal
35,George Town,MY,301.11,few clouds,5.4112,100.3354,Cititel Penang
37,Ascension,US,302.15,clear sky,30.2169,-90.9001,Highland Inn
39,Omboué,GA,299.15,light rain,-1.5746,9.2618,Hotel Olako
40,Denpasar,ID,299.96,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
41,Gbarnga,LR,295.34,light rain,6.9956,-9.4722,Passion Hotel 2
42,Saldanha,ZA,296.18,clear sky,-33.0117,17.9442,Blue Bay Lodge
46,Hilo,US,299.4,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
50,Rikitea,PF,300.18,scattered clouds,-23.1203,-134.9692,People ThankYou
52,Hithadhoo,MV,301.85,broken clouds,-0.6,73.0833,Scoop Guest House
55,Bengkulu,ID,297.2,heavy intensity rain,-3.8004,102.2655,Grage Hotel Bengkulu
58,Vaini,TO,300.24,overcast clouds,-21.2,-175.2,Keleti Beach Resort
