City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
0,Hobart,-42.8794,147.3294,287.74,75,20,4.63,AU,2022-03-18 22:50:03,few clouds
1,Oussouye,12.485,-16.5469,297.25,56,0,5.56,SN,2022-03-18 22:53:43,clear sky
2,Copiapó,-27.3667,-70.3333,291.98,37,0,2.08,CL,2022-03-18 22:53:44,clear sky
3,Cherskiy,68.75,161.3,253.54,83,24,2.26,RU,2022-03-18 22:53:44,few clouds
4,Codrington,-38.2667,141.9667,291.83,67,75,4.52,AU,2022-03-18 22:53:45,broken clouds
5,Egvekinot,66.3167,-179.1667,250.39,70,0,0.6,RU,2022-03-18 22:53:46,clear sky
6,Carnarvon,-24.8667,113.6333,297.19,64,54,6.17,AU,2022-03-18 22:53:46,broken clouds
7,Rolla,37.9514,-91.7713,282.62,88,100,7.72,US,2022-03-18 22:50:20,overcast clouds
8,Severo-Kuril'sk,50.6789,156.125,273.34,96,100,13.21,RU,2022-03-18 22:53:47,light snow
9,West Wendover,40.7391,-114.0733,286.71,23,75,1.54,US,2022-03-18 22:53:48,broken clouds
10,Balkhash,46.844,74.9804,268.3,83,11,2.37,KZ,2022-03-18 22:53:48,few clouds
11,Kapaa,22.0752,-159.319,300.33,66,0,5.66,US,2022-03-18 22:51:58,clear sky
12,Port Hueneme,34.1478,-119.1951,303.18,34,0,4.63,US,2022-03-18 22:53:49,clear sky
13,Albany,42.6001,-73.9662,291.58,59,79,1.3,US,2022-03-18 22:50:02,broken clouds
14,Butaritari,3.0707,172.7902,300.33,81,23,9.0,KI,2022-03-18 22:53:50,few clouds
15,Dekar,-21.5333,21.9333,289.5,93,100,3.49,BW,2022-03-18 22:53:51,light rain
16,Bilma,18.6853,12.9164,295.24,7,2,3.2,NE,2022-03-18 22:53:51,clear sky
17,Santa Rosa del Sur,7.9644,-74.0544,299.2,68,91,1.29,CO,2022-03-18 22:53:52,overcast clouds
