City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Uyemskiy,-46.1927,168.8643,293.42,56,100,3.58,NZ,2022-03-11 01:15:52
1,Uyemskiy,37.1041,-113.5841,280.72,22,0,13.38,US,2022-03-11 01:15:52
2,Uyemskiy,-9.8,-139.0333,298.92,73,9,6.33,PF,2022-03-11 01:15:53
3,Uyemskiy,-33.0153,27.9116,294.5,85,20,2.47,ZA,2022-03-11 01:15:53
4,Uyemskiy,-38.0023,-57.5575,291.41,71,1,1.54,AR,2022-03-11 01:15:54
5,Uyemskiy,27.9054,-15.4461,288.5,63,20,6.17,ES,2022-03-11 01:15:54
6,Uyemskiy,70.4692,-68.5914,242.28,76,0,1.03,CA,2022-03-11 01:15:55
7,Uyemskiy,-46.2817,169.8464,294.11,53,100,4.7,NZ,2022-03-11 01:15:56
8,Uyemskiy,14.8961,-24.4956,294.81,72,4,5.39,CV,2022-03-11 01:15:56
9,Uyemskiy,-23.1203,-134.9692,299.1,70,59,2.78,PF,2022-03-11 01:15:57
10,Uyemskiy,-33.918,25.5701,290.31,94,0,0.0,ZA,2022-03-11 01:15:57
11,Uyemskiy,28.017,-97.5169,292.69,84,100,3.96,US,2022-03-11 01:15:58
12,Uyemskiy,56.7115,-4.9661,277.47,90,100,2.8,GB,2022-03-11 01:15:58
13,Uyemskiy,16.8634,-99.8901,298.05,78,0,4.12,MX,2022-03-11 01:15:59
14,Uyemskiy,-33.65,115.3333,301.32,35,2,4.38,AU,2022-03-11 01:16:00
15,Uyemskiy,-0.6,73.0833,300.87,59,5,1.72,MV,2022-03-11 01:16:00
16,Uyemskiy,-33.295,-66.3356,289.74,35,0,5.44,AR,2022-03-11 01:16:01
17,Uyemskiy,44.85,23.0833,269.47,92,100,1.32,RO,2022-03-11 01:16:02
18,Uyemskiy,-42.8794,147.3294,294.83,48,75,3.6,AU,2022-03-11 01:16:02
19,Uyemskiy,49.1447,56.4872,266.17,93,100,8.51,KZ,2022-03-11 01:16:03
20,Uyemskiy,-8.0742,-39.1192,298.51,59,100,4.45,BR,2022-03-11 01:16:03
21,Uyemskiy,-15.7667,128.7333,306.14,58,100,2.06,AU,2022-03-11 01:14:58
22,Uyemskiy,16.4145,-3.6708,297.13,8,5,3.86,ML,2022-03-11 01:16:04
23,Uyemskiy,-33.9258,18.4232,292.66,81,0,3.09,ZA,2022-03-11 01:16:05
24,Uyemskiy,-33.5906,26.891,295.06,81,75,1.42,ZA,2022-03-11 01:16:06
25,Uyemskiy,55.1001,-105.2842,252.29,59,20,4.63,CA,2022-03-11 01:16:06
26,Uyemskiy,-34.5322,20.0403,289.77,94,0,1.54,ZA,2022-03-11 01:16:07
27,Uyemskiy,41.9842,44.1158,273.47,96,100,0.9,GE,2022-03-11 01:16:07
